Product Name,Product URL,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black),https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF,499,4.3 out of 5 stars,"13,214",,,,
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,799,4.0 out of 5 stars,"56,327",,,,
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5,799,4.3 out of 5 stars,"6,865",,,,
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF,449,4.3 out of 5 stars,"5,245",,,,
"Safari Omega 30L Laptop Backpack with Raincover, school bag for boys and girls, college bag, office bag, travel bag for men and women, Teal",https://www.amazon.in/Safari-Laptop-Backpack-Raincover-college/dp/B097JH4V5G,699,3.9 out of 5 stars,155,,,,
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ,689,4.1 out of 5 stars,"1,948",,,,
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4,689,3.9 out of 5 stars,"3,834",,,,
American Tourister Casual Backpack,https://www.amazon.in/American-Tourister-AMT-SCH-BAG02/dp/B07CGLDV2C,949,4.2 out of 5 stars,"4,179",,,,
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8,229,4.1 out of 5 stars,"10,264",,,,
Impulse Belux 45L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,https://www.amazon.in/Impulse-Belux-Backpack-Resistant-Black/dp/B0CJHL12N9,510,5.0 out of 5 stars,11,,,,
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,699,4.1 out of 5 stars,"6,650",,,,
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X,689,3.9 out of 5 stars,"3,834",,,,
ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B,374,3.9 out of 5 stars,"4,289",,,,
Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H,"2,299",4.5 out of 5 stars,"7,718",,,,
Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Office Backpack for Men/Women - Brown,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH,798,4.4 out of 5 stars,"6,237",,,,
"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6"" laptop) 30 L, Charcoal black",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV,499,4.3 out of 5 stars,"13,214",,,,
